t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-08,0.05217480754632207,-76940.16200671405,301.5905468738408,19280943.550252374
2.05e-08,0.05217480754632207,-81981.65002164936,304.09237158501384,19280943.550252374
3.1525e-08,0.05217480754632207,-88947.9460860573,307.3704200805524,19280943.550252374
4.3101250000000004e-08,0.05217480754632207,-98037.29352145028,311.37588764556574,19280943.550252374
5.5256312500000004e-08,0.05217480754632207,-109590.64904568638,316.09309329310565,19280943.550252374
6.801912812500001e-08,0.05217480754632207,-124077.99881989004,321.5223071656023,19280943.550252374
8.142008453125001e-08,0.05217480754632207,-142106.26993209426,327.6725134728529,19280943.550252374
9.549108875781251e-08,0.05217480754632207,-164439.1836632726,334.55841050404393,19280943.550252374
1.1026564319570314e-07,0.05217480754632207,-192022.57528342266,342.1985426069596,19280943.550252374
1.2577892535548832e-07,0.05217480754632207,-226014.0730934589,350.61411562720025,19280943.550252374
1.4206787162326273e-07,0.05217480754632207,-267815.8229056146,359.82818039474114,19280943.550252374
1.5917126520442587e-07,0.05217480754632207,-319108.765075217,369.86502390091124,19280943.550252374
1.7712982846464716e-07,0.05217480754632207,-381886.575612077,380.7496821431245,19280943.550252374
1.9598631988787953e-07,0.05217480754632207,-458486.89309239143,392.50752590081186,19280943.550252374
2.157856358822735e-07,0.05217480754632207,-551616.9684701001,405.16389067253243,19280943.550252374
2.357856358822735e-07,4162606.9189663944,-52732655348213.1,418.2172672754292,89948551096106.84
2.557856358822735e-07,21647239.511967678,-278991852515569.34,431.4977353418989,318498504747500.0
2.7578563588227355e-07,86407081.01066354,-1161295135816004.2,444.96921435113006,1002387562596396.5
2.9578563588227357e-07,309702619.4474037,-4365799451597260.5,458.60004537875096,2959929027726186.5
3.157856358822736e-07,1034427698.4173529,-1.5247855575512532e+16,472.36227103797404,8289703960698072.0
3.357856358822736e-07,3257751321.6084156,-4.990596435493445e+16,486.23108737630844,2.210568903484624e+16
3.5578563588227363e-07,9722501056.394814,-1.537514525151299e+17,500.184407672903,5.626314623152382e+16
3.7578563588227365e-07,27582530888.77439,-4.4739983676112294e+17,514.2025071345354,1.369674269084513e+17
3.9578563588227367e-07,74576498205.76524,-1.2335297026828634e+18,528.2677288264304,3.195845064026884e+17
4.157856358822737e-07,192629815861.70953,-3.2321743511274496e+18,542.3642372371696,7.161932414513874e+17
4.357856358822737e-07,476439439478.57495,-8.072343308580504e+18,556.4778096228094,1.5447014899459249e+18
4.5578563588227373e-07,1130931513714.896,-1.927000714058218e+19,570.5956577730765,3.2129634159683983e+18
4.7578563588227375e-07,2582024003166.77,-4.408627166783148e+19,584.7062745866322,6.457522315617415e+18
4.957856358822737e-07,5681916953066.481,-9.690939309009017e+19,598.7993010990289,1.256451026551852e+19
5.157856358822737e-07,12075813094500.654,-2.0516855010903455e+20,612.8654105337224,2.370994962618579e+19
5.357856358822738e-07,24834708518637.406,-4.1929256607305564e+20,626.8962066427575,4.346789776748591e+19
5.557856358822738e-07,49512384842138.23,-8.289010670202738e+20,640.8841341349777,7.754743145320142e+19
5.757856358822738e-07,95857809139349.64,-1.5882702724186634e+21,654.8223994003656,1.3483230823616892e+20
5.957856358822738e-07,180510414191194.12,-2.955146334773055e+21,668.7049000604777,2.2880913635012493e+20
6.157856358822738e-07,331127566315618.56,-5.348134808804375e+21,682.5261621289944,3.7947848902787387e+20
6.357856358822739e-07,592540286518479.2,-9.429038972685398e+21,696.2812837691862,6.158440222297181e+20
6.557856358822739e-07,1035697663875158.0,-1.6217340827699226e+22,709.965884798356,9.790584008136002e+20
6.757856358822739e-07,1770321303418519.0,-2.7243861948046323e+22,723.5760612218136,1.5262548068148713e+21
6.957856358822739e-07,2962300566378997.5,-4.4748216746627826e+22,737.1083441872623,2.3349784181135445e+21
7.157856358822739e-07,4856820414310656.0,-7.191763165284553e+22,750.5596628396528,3.507902995436851e+21
7.35785635882274e-07,7807850816567781.0,-1.1314927982910461e+23,763.9273106304344,5.177103003650559e+21
7.55785635882274e-07,1.231366337861455e+16,-1.7428968661016244e+23,777.2089146967056,7.506486016416647e+21
7.75785635882274e-07,1.9056136730320988e+16,-2.627601866114787e+23,790.4024079773677,1.0690102694636985e+22
7.95785635882274e-07,2.89385710574699e+16,-3.8742446875813594e+23,803.506003776854,1.494326449531314e+22
8.15785635882274e-07,4.31130037321556e+16,-5.580251752097993e+23,816.5181725238194,2.0483580739959805e+22
8.357856358822741e-07,6.298544134521155e+16,-7.84079291089175e+23,829.437620503482,2.750162803103468e+22
8.557856358822741e-07,9.018919730294384e+16,-1.0733395464682159e+24,842.2632703690501,3.612672348999337e+22
8.757856358822741e-07,1.2652550333689205e+17,-1.4302782021380282e+24,854.994243260625,4.640047696016496e+22
8.957856358822741e-07,1.7388487003816013e+17,-1.855291689497564e+24,867.6298423797235,5.827323426170154e+22
