t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-10,183.72478676784846,-239415425872.3386,300.1771104379884,7039992579242.52
2.0500000000000002e-10,572.3406732600529,-521153771708.3292,300.27581027017385,14145945410773.188
3.1525e-10,1187.964106987105,-846532216363.036,300.35845107211645,21296767432879.188
4.3101250000000007e-10,2054.2937114028023,-1217617767101.206,300.43545496513957,28486052708024.324
5.525631250000001e-10,3196.9181182618536,-1636623886666.1897,300.51091706218,35712547963571.68
6.801912812500001e-10,4643.609383515461,-2105869433915.3054,300.5871100585672,42978741145857.766
8.142008453125001e-10,6424.643361769721,-2627784160784.482,300.66560359998465,50290425183988.81
9.549108875781252e-10,8573.166886336518,-3204935390314.3545,300.7476670907407,57656617458920.04
1.1026564319570316e-09,11125.627403927288,-3840070760357.665,300.8344523950873,65089649567264.28
1.2577892535548832e-09,14122.281236951803,-4536177103120.238,300.92709353186996,72605364233119.88
1.4206787162326274e-09,17607.7993981087,-5296557692606.983,301.0267713504319,80223401939630.47
1.591712652044259e-09,21631.994412330852,-6124931589575.013,301.1347631167133,87967582438942.3
1.7712982846464719e-09,26250.698126477793,-7025560355769.335,301.2524866012054,95866401607082.83
1.9598631988787956e-09,31526.829606006577,-8003409345396.446,301.3815440497118,103953678113479.7
2.1578563588227356e-09,37531.704906816965,-9064353411867.613,301.5237696352136,112269400151060.0
2.3578563588227357e-09,44069.37617222313,-10170568604642.492,301.67502081958077,120538187987368.5
2.557856358822736e-09,51079.25499189805,-11311537070072.334,301.834563590912,128719993686775.6
2.757856358822736e-09,58564.249967372714,-12488109527932.21,302.0030915847416,136855890854961.44
2.957856358822736e-09,66529.84384028349,-13701759584148.424,302.18129983183115,144984590752043.66
3.1578563588227363e-09,74984.0809315691,-14954566946025.787,302.3698932304302,153143171837023.34
3.3578563588227364e-09,83937.5985376735,-16249214377726.861,302.5695926537402,161367750621158.4
3.5578563588227366e-09,93403.7018227002,-17588998025408.662,302.7811396998186,169694109291562.53
3.757856358822737e-09,103398.48280093032,-18977851089317.41,303.0053005665234,178158295152287.34
3.957856358822737e-09,113940.98511043718,-20420381207238.47,303.24286933412463,186797206552317.5
4.157856358822737e-09,125053.41746490914,-21921922326855.387,303.4946708359242,195649179829226.6
4.357856358822737e-09,136761.41997256395,-23488602295207.152,303.7615632374724,204754591989845.1
4.557856358822737e-09,149094.3889718046,-25127427898840.926,304.04444040750207,214156494441488.72
4.757856358822737e-09,162085.8677064986,-26846389669868.43,304.3442341391401,223901294141468.6
4.9578563588227375e-09,175774.0121150659,-28654589457207.055,304.66191626333426,234039500119872.56
5.157856358822738e-09,190202.1433178985,-30562394581360.2,304.9985006849038,244626555539546.6
5.357856358822738e-09,205419.4011576593,-32581623385985.36,305.35504536345053,255723778401455.2
5.557856358822738e-09,221481.5165028217,-34725768221979.914,305.7326542554702,267399437830097.5
5.757856358822738e-09,238451.7241255274,-37010263416120.87,306.13247922967025,279729997772369.12
5.957856358822738e-09,256401.84301253658,-39452807671807.11,306.55572196426465,292801566159344.44
6.157856358822738e-09,275413.5572208694,-42073752734954.805,307.00363583256643,306711595430037.8
6.3578563588227385e-09,295579.9381792268,-44896573178110.86,307.47752778130126,321570890206556.7
6.557856358822739e-09,317007.25909035385,-47948435999971.05,307.9787602045876,337505990366537.2
6.757856358822739e-09,339817.16436309577,-51260893655600.29,308.50875281535036,354662013459638.9
6.957856358822739e-09,364149.27251890046,-54870730455701.39,309.06898451497665,373206060237883.25
7.157856358822739e-09,390164.3107218781,-58821000441665.91,309.6609952612399,393331312153167.6
7.357856358822739e-09,418047.9042174808,-63162305445555.17,310.2863879338608,415261981500089.7
7.557856358822738e-09,448015.17617357644,-67954375871240.18,310.94683019651,439259315379854.2
7.757856358822739e-09,480316.35487518855,-73268034851480.44,311.6440563535776,465628906359345.4
7.957856358822739e-09,515243.63882845186,-79187650291868.88,312.37986919960474,494729628917357.6
8.157856358822739e-09,553139.6399571461,-85814210876020.05,313.1561418588954,526984605879735.7
