t(s),Adsorbed H on surface 1 (H m-2),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),0 value at [0] (H m-3)
1e-08,0.006915120391961954,-17075.538563396665,301.3736558008303,2569640.821907969
2.05e-08,0.006915120391961954,-18039.15265500928,303.53427075016594,2569640.821907969
3.1525e-08,0.006915120391961954,-19361.360525812906,306.3651267415173,2569640.821907969
4.3101250000000004e-08,0.006915120391961954,-21072.273621252494,309.82482766082023,2569640.821907969
5.5256312500000004e-08,0.006915120391961954,-23225.795251287345,313.89859492358954,2569640.821907969
6.801912812500001e-08,0.006915120391961954,-25897.727918069453,318.586704580379,2569640.821907969
8.142008453125001e-08,0.006915120391961954,-29185.967158184205,323.8971486113705,2569640.821907969
9.549108875781251e-08,0.006915120391961954,-33212.97708033697,329.84252700091076,2569640.821907969
1.1026564319570314e-07,0.006915120391961954,-38129.66319313111,336.4387300810278,2569640.821907969
1.2577892535548832e-07,0.006915120391961954,-44119.87331046145,343.70392669192313,2569640.821907969
1.4206787162326273e-07,0.006915120391961954,-51405.48159819549,351.6578577159659,2569640.821907969
1.5917126520442587e-07,0.006915120391961954,-60251.87663923837,360.3213078273748,2569640.821907969
1.7712982846464716e-07,0.006915120391961954,-70973.62513230531,369.71568228587773,2569640.821907969
1.9598631988787953e-07,0.006915120391961954,-83940.01608423649,379.8626468402486,2569640.821907969
2.157856358822735e-07,0.006915120391961954,-99580.1150290529,390.78380595292265,2569640.821907969
2.357856358822735e-07,0.006915120391961954,-117617.69574424301,402.04619825246164,2569640.821907969
2.557856358822735e-07,0.006915120391961954,-138032.2916577129,413.50309967220863,2569640.821907969
2.7578563588227355e-07,0.006915120391961954,-160935.91724919644,425.12330027985456,2569640.821907969
2.9578563588227357e-07,2674886.121159694,-38836770516104.38,436.87942148927635,45601684499338.33
3.157856358822736e-07,11798030.128355153,-165658170234255.9,448.7472921899997,135145972075929.2
3.357856358822736e-07,39172920.84265216,-551804477511003.25,460.7054742202018,354575913666290.75
3.5578563588227363e-07,116134886.83924735,-1666925171581864.0,472.7348847560522,876919960902792.1
3.7578563588227365e-07,321911990.53864294,-4727173331454044.0,484.8184886905989,2074619451395408.0
3.9578563588227367e-07,848085264.3420339,-1.2726150435696418e+16,496.9410439660456,4720123882363353.0
4.157856358822737e-07,2138603393.425022,-3.2687106219524536e+16,509.0888880915181,1.0355928995668322e+16
4.357856358822737e-07,5181289030.90126,-8.035455075463098e+16,521.2497573256894,2.19528063078194e+16
4.5578563588227373e-07,12090826485.537468,-1.895390304475933e+17,533.4126321659588,4.503903104318354e+16
4.7578563588227375e-07,27231114003.525795,-4.299606887680472e+17,545.5676042944804,8.957236354929566e+16
4.957856358822737e-07,59299534320.98417,-9.399943911484178e+17,557.7057612176623,1.7294454735045754e+17
5.157856358822737e-07,125068061182.86435,-1.9845592042337536e+18,569.8190856365745,3.246586224044749e+17
5.357856358822738e-07,255886027234.55368,-4.0539332803166065e+18,581.9003671871747,5.934042024989046e+17
5.557856358822738e-07,508645972038.15857,-8.026962224285794e+18,593.9431246480617,1.0574745004239849e+18
5.757856358822738e-07,983755235767.6208,-1.543241560735384e+19,605.9415370681612,1.8397179765726257e+18
5.957856358822738e-07,1853807193293.7583,-2.885553828450496e+19,617.8903825441839,3.128490653845897e+18
6.157856358822738e-07,3408177370677.89,-5.255344919331491e+19,629.7849835970269,5.206362936660027e+18
6.357856358822739e-07,6120750476407.464,-9.33630260336569e+19,641.6211582713107,8.488619151510564e+18
6.557856358822739e-07,10750492815282.188,-1.62008791424082e+20,653.3951762231688,1.3573891041726824e+19
6.757856358822739e-07,18487652450714.973,-2.7494408636483754e+20,665.1037191757533,2.1309459289624908e+19
6.957856358822739e-07,31162078230838.008,-4.568887817713529e+20,676.7438452154233,3.2874016642433147e+19
7.157856358822739e-07,51534481020676.64,-7.442565635892883e+20,688.3129564785477,4.988076607566253e+19
7.35785635882274e-07,83696418312956.12,-1.1896952448198983e+21,699.8087698426284,7.450375733500725e+19
7.55785635882274e-07,133610291231459.19,-1.8679910507134633e+21,711.2292902886036,1.096302263407694e+20
7.75785635882274e-07,209826555334970.34,-2.883609010989609e+21,722.5727866457465,1.5904134375893146e+20
7.95785635882274e-07,324421399165559.6,-4.3801507261898367e+21,733.8377694681263,2.2762309046336956e+20
8.15785635882274e-07,494203888550512.7,-6.551998886397784e+21,745.0229708233882,3.216077851524285e+20
8.357856358822741e-07,742246273269482.8,-9.658370932560649e+21,756.1273258016722,4.488448235621842e+20
8.557856358822741e-07,1099793623654862.9,-1.4039900411269847e+22,767.1499555756113,6.190960455262494e+20
8.757856358822741e-07,1608607359470780.5,-2.0137671327062468e+22,778.090151862193,8.443462507385305e+20
8.957856358822741e-07,2323788754805404.0,-2.8514301838611337e+22,788.9473626543743,1.139111978447717e+21
9.157856358822741e-07,3317109104417045.5,-3.987614815946953e+22,799.7211791051286,1.5207208668899498e+21
9.357856358822742e-07,4680837433381306.0,-5.509490783333174e+22,810.411323459446,2.0095189187760182e+21
9.55785635882274e-07,6531997700627489.0,-7.522578485594755e+22,821.0176379409901,2.628943613209278e+21
9.75785635882274e-07,9016898538841160.0,-1.015179347394335e+23,831.5400745098941,3.405378366028073e+21
9.957856358822741e-07,1.2315655494389558e+16,-1.3541127194690907e+23,841.9786854167434,4.367682770427901e+21
1.0157856358822741e-06,1.6646272204225342e+16,-1.7851229261198765e+23,852.3336144853293,5.546282734873569e+21
1.0357856358822742e-06,2.2267682484386736e+16,-2.325411268946271e+23,862.6050890634026,6.971720712776864e+21
1.0557856358822742e-06,2.948102368899066e+16,-2.9924378292307113e+23,872.7934125865256,8.672629020165526e+21
1.0757856358822742e-06,3.8628384103076e+16,-3.802688069583905e+23,882.8989577053376,1.0673216079540777e+22
1.0957856358822742e-06,5.008842968760863e+16,-4.770170445282116e+23,892.9221599311683,1.2990544552742657e+22
1.1157856358822742e-06,6.4268729726188856e+16,-5.904855379528551e+23,902.8635117590619,1.5632088231540173e+22
1.1357856358822743e-06,8.159526279843072e+16,-7.211385834130527e+23,912.7235572309569,1.8594208335321987e+22
1.1557856358822743e-06,1.025003088336139e+17,-8.688414711463867e+23,922.5028869050585,2.1862119865587864e+22
1.1757856358822743e-06,1.2741050695680813e+17,-1.0328847119961735e+24,932.2021332003997,2.5411655422886678e+22
1.1957856358822743e-06,1.567369507742473e+17,-1.2121024752779381e+24,941.8219660882403,2.9212610896157175e+22
1.2157856358822743e-06,1.9086869668786704e+17,-1.4050604582664021e+24,951.363089104346,3.323294871526777e+22
