1.000000000000000021e-08,7.376735817576848332e-43,1.637997542774542312e-41,1.599378946558911014e-34,1.384626256975521597e-27,1.384626416913433279e-27
2.050000000000000159e-08,2.147534702359411997e-42,2.742154892295909149e-41,2.223349300878153312e-34,1.598330080781613219e-27,1.598330303116572874e-27
3.152499999999999939e-08,8.452389742615850638e-42,5.309108764274968337e-41,3.391836143214723797e-34,1.921282221154624359e-27,1.921282560338300450e-27
4.310125000000000354e-08,4.314209980927095423e-41,1.165154438589625196e-40,5.606079285490295352e-34,2.391542132670882974e-27,2.391542693278971031e-27
5.525631250000000393e-08,2.771677412629248441e-40,2.857109575864097230e-40,9.946834521249750013e-34,3.070336307346183262e-27,3.070337302030198102e-27
6.801912812500000996e-08,2.185288272978692474e-39,7.733035718893040321e-40,1.879847044659565186e-33,4.051707365234584405e-27,4.051709245084587747e-27
8.142008453125000934e-08,2.065720500311258873e-38,2.284384270869450368e-39,3.757076805100522321e-33,5.478656155594034345e-27,5.478659912693781376e-27
9.549108875781251134e-08,2.289206359756416099e-37,7.285924740000353244e-39,7.886116675454353240e-33,7.568063626779158284e-27,7.568071513132040679e-27
1.102656431957031424e-07,2.909288241630060844e-36,2.482479588011706307e-38,1.726689542861777165e-32,1.064843760852557877e-26,1.064845487835512013e-26
1.257789253554883163e-07,4.149021347000593120e-35,8.941788041908998026e-38,3.917382266961084202e-32,1.521635367980403731e-26,1.521639289520633919e-26
1.420678716232627316e-07,6.499570868977097514e-34,3.369980077400094201e-37,9.148471581806020554e-32,2.201977172581010320e-26,2.201986386082000625e-26
1.591712652044258678e-07,1.095330057134800245e-32,1.315607679275939865e-36,2.185141485342843982e-31,3.217924007610507898e-26,3.217946954486979672e-26
1.771298284646471594e-07,1.946116198286203405e-31,5.268639722071016448e-36,5.305047838590720285e-31,4.736125111349575414e-26,4.736197623516808039e-26
1.959863198878795341e-07,3.575909896087287612e-30,2.144410326611054161e-35,1.301361077472640459e-30,7.002140095492996396e-26,7.002627824734762391e-26
2.157856358822735117e-07,6.672684584750616913e-29,8.793185171212411070e-35,3.207528364297934109e-30,1.037379953577847701e-25,1.038079298199284258e-25
2.357856358822735055e-07,1.114274424721868983e-27,3.417681125825364859e-34,7.639731817697140010e-30,1.514145974160227500e-25,1.525365119143304304e-25
2.557856358822735258e-07,1.615107958631326341e-26,1.240709149023982908e-33,1.741939999629155221e-29,2.168400296977292290e-25,2.330085299247479352e-25
2.757856358822735460e-07,2.037652361906368002e-25,4.212508876075049186e-33,3.805450328462698217e-29,3.047995667395019717e-25,5.086028616459323067e-25
2.957856358822735663e-07,2.247519239625635523e-24,1.340517928627200235e-32,7.976094904953908862e-29,4.207760942588135144e-25,2.668375108238678104e-24
3.157856358822735866e-07,2.179232999200081412e-23,4.008796853136851754e-32,1.606646288030225729e-28,5.709125110338983061e-25,2.236340320775148487e-23
3.357856358822736068e-07,1.868868688734226978e-22,1.129905035530852386e-31,3.116105856712095605e-28,7.619483276906352102e-25,1.876491289246895019e-22
3.557856358822736271e-07,1.426615641487442106e-21,3.010897480860187334e-31,5.830724277930151470e-28,1.001133746600870696e-24,1.427617358607560567e-21
3.757856358822736474e-07,1.215289427321915988e-08,1.180563906445665445e-06,2.674163632786973350e-05,5.370682940656981447e-04,5.650026471942867648e-04
3.957856358822736677e-07,3.044699191946397505e-07,4.684845518235265528e-05,5.159478202434135538e-04,5.038013749890502165e-03,5.601114495235462801e-03
4.157856358822736879e-07,5.078424223702562837e-06,9.551300884654178236e-04,6.122409591267322093e-03,3.479567726906648839e-02,4.187829537302292793e-02
4.357856358822737082e-07,6.800411648166690371e-05,1.441608880255164371e-02,5.805881173624371366e-02,2.073155586953643326e-01,2.798584633506413510e-01
4.557856358822737285e-07,7.751461046999104116e-04,1.795271796075491033e-01,4.740839316327418174e-01,1.110000878813217851e+00,1.764387136158208857e+00
4.757856358822737487e-07,7.719160323751037348e-03,1.927272126844698619e+00,3.434182748395334883e+00,5.425588140049944386e+00,1.079476217561372842e+01
4.957856358822737161e-07,6.815278945518501996e-02,1.822682979402351222e+01,2.240491698410972532e+01,2.441847846643607056e+01,6.511837803402448799e+01
5.157856358822737363e-07,5.389126280366869359e-01,1.538426382907221921e+02,1.329097951467602456e+02,1.018076275921634704e+02,3.890989736576826203e+02
5.357856358822737566e-07,3.847195436459303064e+00,1.169597154756711461e+03,7.220359429718561159e+02,3.952067837039811025e+02,2.290687076869007797e+03
5.557856358822737769e-07,2.496518479381051137e+01,8.068421345555028893e+03,3.613470118503039430e+03,1.434839833301069802e+03,1.314169648215294728e+04
5.757856358822737972e-07,1.481661163199407270e+02,5.082640293959694100e+04,1.674660594308676446e+04,4.892234731751651452e+03,7.261340973075530201e+04
5.957856358822738174e-07,8.087500466029425752e+02,2.940414253408176010e+05,7.221548785246747138e+04,1.572516600380521413e+04,3.827908292436932097e+05
6.157856358822738377e-07,4.081030548212810118e+03,1.570376660993032856e+06,2.910290904336401145e+05,4.782027078223216813e+04,1.913307052757118130e+06
6.357856358822738580e-07,1.912889386241133252e+04,7.779642993308246136e+06,1.100543681285832310e+06,1.380377782869257790e+05,9.037353346743416041e+06
6.557856358822738782e-07,8.365671956025053805e+04,3.590951520890377462e+07,3.919958683776089922e+06,3.793992746878755279e+05,4.029252988692799211e+07
6.757856358822738985e-07,3.427630496937724529e+05,1.550784260605943501e+08,1.319728342162050307e+07,9.957739524472292978e+05,1.696142464843558669e+08
