1.000000000000000021e-08,6.315538080333325391e-48,1.200619800404219801e-51,1.172313133227073376e-44,1.014903659420941081e-37,1.014903776715421885e-37
2.050000000000000159e-08,1.838596030411098428e-47,2.009945298140735311e-51,1.629671061244449971e-44,1.171544335358147883e-37,1.171544498509133796e-37
3.152499999999999939e-08,7.236451271864067969e-47,3.891471713743265674e-51,2.486148804821987297e-44,1.408261866483364030e-37,1.408262115821928620e-37
4.310125000000000354e-08,3.693579124275767769e-46,8.540351575436492283e-51,4.109145231924213840e-44,1.752953080211557900e-37,1.752953494819745720e-37
5.525631250000000393e-08,2.372951218362837647e-45,2.094204807472712996e-50,7.290832962623345771e-44,2.250495784172977348e-37,2.250496536985995406e-37
6.801912812500000996e-08,1.870918472045309240e-44,5.668162227892911447e-50,1.377890701671391649e-43,2.969821358769780990e-37,2.969822923752896520e-37
8.142008453125000934e-08,1.768551403448040928e-43,1.674408487018913040e-49,2.753862985778600999e-43,4.015746598050934362e-37,4.015751120466997827e-37
9.549108875781251134e-08,1.959887177243658188e-42,5.340438723908045558e-49,5.780367541217748491e-43,5.547240947406411655e-37,5.547266326651065603e-37
1.102656431957031424e-07,2.490765716850103340e-41,1.819608436296909189e-48,1.265629282202229832e-42,7.805094148376560090e-37,7.805355881259264759e-37
1.257789253554883163e-07,3.552154091063210761e-40,6.554153772385301396e-48,2.871363718592108956e-42,1.115328627842815381e-36,1.115686714622194505e-36
1.420678716232627316e-07,5.564559765179960457e-39,2.470128740877609203e-47,6.705648719073481550e-42,1.614005713928443132e-36,1.619576979367043515e-36
1.591712652044258678e-07,9.377587672159365447e-38,9.643144071065005904e-47,1.601665488181024226e-41,2.358674649284901575e-36,2.452466542757808463e-36
1.771298284646471594e-07,1.666153060510086394e-36,3.861808706257212334e-46,3.888495135538990548e-41,3.471486029366170212e-36,5.137677975213792622e-36
1.959863198878795341e-07,3.061488940239492805e-35,1.571810354464547672e-45,9.538719297725342719e-41,5.132430192546589148e-36,3.574741498370630404e-35
2.157856358822735117e-07,5.712769798890344351e-34,6.445230807425892206e-45,2.351054848355363110e-40,7.603789873202559697e-36,5.788810048741670251e-34
2.357856358822735055e-07,9.539778481024832038e-33,2.505092665879848047e-44,5.599772313802438240e-40,1.109839050307615037e-35,9.550877431530190470e-33
2.557856358822735258e-07,1.382762792220504038e-31,9.094152658725315546e-44,1.276807565369314422e-39,1.589394528238110002e-35,1.382921744442312903e-31
2.757856358822735460e-07,1.744521073323194143e-30,3.087685685674055168e-43,2.789319821608505656e-39,2.234120536971058515e-35,1.744543417318192333e-30
2.957856358822735663e-07,1.924197056144559717e-29,9.825731271736077530e-43,5.846319803734267846e-39,3.084205544338961291e-35,1.924200140934834384e-29
3.157856358822735866e-07,1.865734293964193708e-28,2.938368802142158894e-42,1.177639950782598876e-38,4.184675783363720997e-35,1.865734712549565492e-28
