9.999999999999999547e-07,2.207013591881535656e-37,3.650298236943116311e-30,4.119951621104309471e-25,4.122863373973414317e-20,4.122904573854655504e-20
2.049999999999999854e-06,2.537487399947132618e-37,3.904355036543759205e-30,4.301028933375880798e-25,4.200862673420780765e-20,4.200905684100550145e-20
3.152499999999999886e-06,3.044820177101052922e-37,4.263039877188604258e-30,4.549603812633687997e-25,4.304976869936048046e-20,4.305022366400478656e-20
4.310124999999999666e-06,3.801396842097964023e-37,4.744548118036072028e-30,4.871741260409459373e-25,4.435234972657567049e-20,4.435283690544625514e-20
5.525631249999999731e-06,4.931278409127075651e-37,5.378877334632472046e-30,5.278647829958847664e-25,4.593003707976350953e-20,4.593056494992537869e-20
6.801912812499999673e-06,6.643054441888962818e-37,6.210015472494861961e-30,5.786476084119622125e-25,4.780559213746410443e-20,4.780617079128253067e-20
8.142008453124999399e-06,9.291931456466096286e-37,7.300759570583565282e-30,6.417110235054299685e-25,5.000967270880449828e-20,5.001031442712876537e-20
9.549108875781250552e-06,1.349611849605022015e-36,8.740464532045441695e-30,7.199617580314010448e-25,5.258082571343347255e-20,5.258154568393197148e-20
1.102656431957031350e-05,2.035913597284436294e-36,1.065692845705886211e-29,8.172397771543675116e-25,5.556611101950267115e-20,5.556692826993674926e-20
1.257789253554882909e-05,3.190484624034119282e-36,1.323453006199101195e-29,9.386210874871814924e-25,5.902216670973251093e-20,5.902310534405453577e-20
1.420678716232627189e-05,5.195102185084932611e-36,1.674206079588345815e-29,1.090838888104729024e-24,6.301665818531826568e-20,6.301774904094843150e-20
1.591712652044258752e-05,8.791074296197617913e-36,2.157581030302281654e-29,1.282868318541471333e-24,6.763011160057004060e-20,6.763139449046439694e-20
1.771298284646471901e-05,1.546087266539823466e-35,2.832692381097092447e-29,1.526740139577743265e-24,7.295816330729241041e-20,7.295969007575892139e-20
1.959863198878795691e-05,2.825897153728831688e-35,3.788777569607269428e-29,1.838677062078510914e-24,7.911427742791968196e-20,7.911611614286957343e-20
2.157856358822735551e-05,5.367079541460423091e-35,5.162166179297139251e-29,2.240687067570206077e-24,8.623299958554925700e-20,8.623524032423853296e-20
2.365749176763872337e-05,1.058871147065672862e-34,7.163619075883099014e-29,2.762806510543489248e-24,9.447382874310329903e-20,9.447659162125014349e-20
2.584036635602066114e-05,2.169023025282665712e-34,1.012279849233428558e-28,3.446270025589139338e-24,1.040258020299686758e-19,1.040292484012224612e-19
2.813238467382169394e-05,4.610170701123713358e-34,1.456127072979749772e-28,4.348005707000399060e-24,1.151128995775205426e-19,1.151172477288407073e-19
3.053900390751278194e-05,1.015867080454894057e-33,2.131339582766063399e-28,5.547029020048423895e-24,1.280003875027056920e-19,1.280059347448607039e-19
3.306595410288842027e-05,2.318334082836500775e-33,3.172815299489108166e-28,7.153560688653455851e-24,1.430022266952261011e-19,1.430093805731985860e-19
3.571925180803284120e-05,5.472712825858340353e-33,4.800862731846754457e-28,9.322055263170061682e-24,1.604896821400985773e-19,1.604990046754534866e-19
3.850521439843448317e-05,1.334448208930306654e-32,7.378694823204491992e-28,1.226984436321482020e-23,1.809012710861160526e-19,1.809135416683620913e-19
4.143047511835621266e-05,3.355652724177529964e-32,1.151038528833188291e-27,1.630383595387200984e-23,2.047541872361043708e-19,2.047704922231303369e-19
4.450199887427402456e-05,8.686703843594326093e-32,1.820862871133630358e-27,2.185875696586486044e-23,2.326573310031213418e-19,2.326791915810369080e-19
4.772709881798772706e-05,2.310416656476673975e-31,2.918327421981884389e-27,2.955190171152621246e-23,2.653260615278154406e-19,2.653556163480854440e-19
5.111345375888711671e-05,6.300461511820405480e-31,4.733922372628311810e-27,4.026141514017960074e-23,3.035987636154427754e-19,3.036390297651353889e-19
5.466912644683147483e-05,1.757655527848241364e-30,7.763759904773643938e-27,5.523801333695280840e-23,3.484552915288731326e-19,3.485105373077276750e-19
5.840258276917305492e-05,5.004486992957775235e-30,1.285871286933011544e-26,7.626400529015008715e-23,4.010373119392753267e-19,4.011135888082828238e-19
6.232271190763171266e-05,1.450766927534897953e-29,2.148275647249258277e-26,1.058788920507676729e-22,4.626705216129894132e-19,4.627764220023043381e-19
6.643884750301330092e-05,4.271396050351910572e-29,3.616010811725630595e-26,1.476981405051328385e-22,5.348886642597199446e-19,5.350363986030471395e-19
7.076078987816396791e-05,1.274041517758749924e-28,6.124770270435144046e-26,2.068615301481639877e-22,6.194592196197600562e-19,6.196661425250150685e-19
7.529882937207216893e-05,3.840111406119558320e-28,1.042658826849682962e-25,2.906604529373288097e-22,7.184105921831187154e-19,7.187013572859499162e-19
8.006377084067577729e-05,1.166715660951364486e-27,1.781818769911163316e-25,4.094105566779478870e-22,8.340605942899515839e-19,8.344701841952221620e-19
8.506695938270957555e-05,3.564371016733875076e-27,3.053096400017787908e-25,5.776581795339045096e-22,9.690460072986124365e-19,9.696239743521573722e-19
9.032030735184505424e-05,1.092359883683780196e-26,5.239329279475193864e-25,8.158373462439507545e-22,1.126353023975738616e-18,1.127169396178509419e-18
9.583632271943730958e-05,3.350619264144836954e-26,8.994818809863206403e-25,1.152530153623137495e-21,1.309348433689179734e-18,1.310501896830876533e-18
1.016281388554091824e-04,1.026420978717886986e-25,1.543261927018187139e-24,1.627528958078255557e-21,1.521811515947552195e-18,1.523440690809655327e-18
1.077095457981796503e-04,2.370542223861611829e-17,1.512531749656556106e-08,3.298604921646416073e-07,6.378215148343656172e-06,6.723200958028568454e-06
