t(s),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),Total retention volume 1 (H m-2),Total solute volume 1 (H m-2),Total 1 volume 1 (H m-2),Recycling coefficient at surface 1 ()
7.954302432552381e-05,-2.9308635110086994e+22,373.4899406313884,2.0205371820007005e+17,9972520033841020.0,1.9208119816622912e+17,0.9307938302192444
8.84973267580762e-05,-2.9384080881309935e+22,373.51686463027823,2.201327800969507e+17,1.0190783565791134e+16,2.0994199653115958e+17,0.9331898632691178
9.834705943388383e-05,-2.946160710517195e+22,373.5449474835045,2.392561352571996e+17,1.0429038699925342e+16,2.2882709655727405e+17,0.9356519680576865
0.00010918176537727222,-2.9540766409705646e+22,373.57425536068286,2.5943415757385763e+17,1.0688760843841184e+16,2.4874539673001667e+17,0.9381659367903709
0.00012109994191499945,-2.96210491455131e+22,373.6048568615203,2.806731574256879e+17,1.0971455617690006e+16,2.6970170180799782e+17,0.9407155838442857
0.0001342099361064994,-2.970189394988824e+22,373.63682323179745,3.0297618106247565e+17,1.1278643535550474e+16,2.916975375269248e+17,0.9432830812673153
0.00014863092971714937,-2.9782702835463335e+22,373.6702285745918,3.263441608245196e+17,1.1611843139586054e+16,3.1473231768493376e+17,0.945849437968597
0.00016449402268886432,-2.9862860470814845e+22,373.70515005941195,3.5077738803917114e+17,1.1972553504278482e+16,3.3880483453489254e+17,0.9483951120387099
0.00018194342495775077,-2.994175675950951e+22,373.74166813141784,3.7627724152057824e+17,1.2362237332083958e+16,3.63915004188494e+17,0.9509007278228757
0.00020113776745352586,-3.001881123850776e+22,373.7798667225367,4.0284806581189824e+17,1.2782306098243388e+16,3.900657597136547e+17,0.9533478507739422
0.00022225154419887848,-3.0093497312517223e+22,373.819833466008,4.3049906158788506e+17,1.32341088025396e+16,4.172649527853457e+17,0.9557197570954133
0.00024547669861876636,-3.016536404163796e+22,373.86165991568424,4.592460335099307e+17,1.371892578633417e+16,4.455271077235969e+17,0.958002125681066
0.000271024368480643,-3.0234053217905703e+22,373.90544177126225,4.891128445953586e+17,1.4237968735025144e+16,4.748748758603335e+17,0.9601835804377515
0.00029912680532870735,-3.0299309865937647e+22,373.9512791105013,5.201324537998525e+17,1.4792387413924646e+16,5.0534006638592794e+17,0.9622560237685573
0.0003300394858615781,-3.0360985065694194e+22,373.9992766294017,5.5234746296626035e+17,1.5383282941811718e+16,5.3696418002444915e+17,0.9642147262190572
0.0003640434344477359,-3.0419031006800264e+22,374.04954389125527,5.858101629790907e+17,1.6011726609703078e+16,5.6979843636938746e+17,0.9660581694107262
0.00040144777789250956,-3.0473489248838503e+22,374.10219558543685,6.205821349635214e+17,1.6678782556388248e+16,6.039033524071336e+17,0.9677876732072483
0.00044259255568176054,-3.0524474052665724e+22,374.15735179677694,6.567335172967887e+17,1.738553216680778e+16,6.39347985129981e+17,0.9694068663446656
0.00048785181124993667,-3.0572153169943995e+22,374.2151382863417,6.943420819582025e+17,1.813309796502038e+16,6.762089839931821e+17,0.9709210763386219
0.0005376369923749304,-3.061672853245781e+22,374.2756867844381,7.334922688319665e+17,1.892266504707013e+16,7.145696037848947e+17,0.972336716208981
0.0005924006916124235,-3.0658418895906524e+22,374.3391352966663,7.742743056683852e+17,1.9755498665074084e+16,7.545188070033114e+17,0.9736607332753474
0.0006526407607736659,-3.0697445803833193e+22,374.40562842384946,8.167835025071611e+17,2.063295728803791e+16,7.961505452191235e+17,0.9749001633946358
0.0007189048368510325,-3.0734023446084996e+22,374.47531769668655,8.611197638724481e+17,2.1556501160996344e+16,8.395632627114514e+17,0.9760618088825291
0.0007917953205361358,-3.0768352285225386e+22,374.5483619259957,9.07387320969859e+17,2.2527696924792868e+16,8.848596240450662e+17,0.9771520360988579
0.0008719748525897494,-3.0800615842400044e+22,374.6249275694386,9.556946569279411e+17,2.354821917106807e+16,9.321464377568731e+17,0.978176673372013
0.0009601723378487245,-3.0830979811767096e+22,374.70518911564875,1.0061545833939446e+18,2.461984988966552e+16,9.815347335042806e+17,0.9791409828747129
0.001057189571633597,-3.0859592672731883e+22,374.7893294867195,1.0588844247221092e+18,2.5744476672029284e+16,1.0331399480500797e+18,0.9800496800675678
0.001163908528796957,-3.088658711132417e+22,374.8775404600448,1.1140062722753283e+18,2.692409034144244e+16,1.0870821819338854e+18,0.980906978839672
0.0012812993816766526,-3.0912081760081154e+22,374.97002311054877,1.1716472812757066e+18,2.8160782461323264e+16,1.1434864988143839e+18,0.9817166467644142
0.001410429319844318,-3.093618295492921e+22,375.06698827438373,1.231939992545413e+18,2.94567429760439e+16,1.2024832495693704e+18,0.9824820608951378
0.00155247225182875,-3.0958986353767182e+22,375.16865703522745,1.2950226693850698e+18,3.0814258088448824e+16,1.264208411296619e+18,0.9832062591686735
0.0017087194770116251,-3.0980578357156046e+22,375.2752612343607,1.361039645198851e+18,3.223570837750348e+16,1.328803936821346e+18,0.9838919855240953
0.0018805914247127878,-3.1001037324843578e+22,375.38704400576387,1.4301416806324063e+18,3.3723567099931172e+16,1.3964181135324756e+18,0.9845417285375342
